Combinations;actual;mean;std;z-score
('BILIARYCHIRROSIS', 'MDD', 'MS', 'RA', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'MS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ADHD', 'AUD', 'BILIARYCHIRROSIS', 'MDD', 'PREECLAMPSIA');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ADHD', 'AUD', 'MDD', 'PREECLAMPSIA', 'SLE');6;0.46;1.66;3.34
('ASD', 'MDD', 'SJOGRENS', 'SLE', 'SZC');6;0.46;1.66;3.34
('ADHD', 'CUD', 'MDD', 'SLE', 'SZC');6;0.46;1.66;3.34
('AUD', 'GDM', 'GOUT', 'RA', 'SLE');6;0.46;1.66;3.34
('AUD', 'CUD', 'PREECLAMPSIA', 'RA', 'SLE');6;0.46;1.66;3.34
('AUD', 'CUD', 'MS', 'PREECLAMPSIA', 'SLE');6;0.46;1.66;3.34
('AUD', 'CUD', 'MS', 'PREECLAMPSIA', 'RA');6;0.46;1.66;3.34
('AUD', 'BPD', 'GDM', 'GOUT', 'SLE');6;0.46;1.66;3.34
('ADHD', 'BILIARYCHIRROSIS', 'GOUT', 'SZC', 'TOURETTES');6;0.46;1.66;3.34
('AUD', 'BILIARYCHIRROSIS', 'GDM', 'RA', 'SLE');6;0.46;1.66;3.34
('BPD', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ADHD', 'BILIARYCHIRROSIS', 'MDD', 'PARKINSONS', 'PREECLAMPSIA');6;0.46;1.66;3.34
('AUD', 'BILIARYCHIRROSIS', 'GOUT', 'PREECLAMPSIA', 'RA');6;0.46;1.66;3.34
('AUD', 'BILIARYCHIRROSIS', 'GOUT', 'MS', 'RA');6;0.46;1.66;3.34
('AUD', 'BILIARYCHIRROSIS', 'CUD', 'PREECLAMPSIA', 'SLE');6;0.46;1.66;3.34
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'CHRONICPAIN', 'TOURETTES');6;0.46;1.66;3.34
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'GDM', 'SLE');6;0.46;1.66;3.34
('AUD', 'BPD', 'CHRONICPAIN', 'SZC', 'TOURETTES');6;0.46;1.66;3.34
('AUD', 'BPD', 'CHRONICPAIN', 'MDD', 'TOURETTES');6;0.46;1.66;3.34
('ADHD', 'CHRONICPAIN', 'IBS', 'MDD');6;0.46;1.66;3.34
('ADHD', 'BPD', 'CUD', 'MDD', 'SLE');6;0.46;1.66;3.34
('MS', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MS', 'RA', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MS', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MS', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'RA', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'MS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('RA', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('RA', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('RA', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ASD', 'BPD', 'MDD', 'SJOGRENS', 'SLE');6;0.46;1.66;3.34
('ASD', 'BPD', 'MDD', 'SJOGRENS', 'SZC');6;0.46;1.66;3.34
('ADHD', 'ASD', 'AUD', 'BPD', 'SLE');6;0.46;1.66;3.34
('AUD', 'MDD', 'PTSD', 'RA', 'SZC');6;0.46;1.66;3.34
('AUD', 'MDD', 'PTSD', 'RA', 'SLE');6;0.46;1.66;3.34
('ASD', 'BPD', 'SJOGRENS', 'SLE', 'SZC');6;0.46;1.66;3.34
('SJOGRENS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ADHD', 'ASD', 'AUD', 'BILIARYCHIRROSIS', 'MS');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'CHRONICPAIN', 'MDD', 'TOURETTES');6;0.46;1.66;3.34
('ASD', 'BILIARYCHIRROSIS', 'MDD', 'SJOGRENS', 'SLE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'MS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ASD', 'BILIARYCHIRROSIS', 'SJOGRENS', 'SLE', 'SZC');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'GDM', 'GOUT', 'SLE');6;0.46;1.66;3.34
('RA', 'SJOGRENS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ADHD', 'ASD', 'AUD', 'RA', 'SLE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MS', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'MS', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'MS', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'MS', 'RA', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ASD', 'BILIARYCHIRROSIS', 'BPD', 'SJOGRENS');6;0.46;1.66;3.34
('BPD', 'GOUT', 'MS', 'PARKINSONS', 'RA');6;0.46;1.66;3.34
('MDD', 'MS', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'RA', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('AUD', 'IBD', 'MS', 'RA');6;0.46;1.66;3.34
('BPD', 'MS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('IBD', 'PREECLAMPSIA', 'RA', 'SLE', 'SZC');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'RA', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'SJOGRENS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'RA', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ASD', 'BILIARYCHIRROSIS', 'SJOGRENS', 'SLE');6;0.46;1.66;3.34
('BPD', 'MDD', 'MS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'MS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MS', 'RA', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'MS', 'RA', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MS', 'RA', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MS', 'RA', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'MS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MS', 'RA', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'MS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'PARKINSONS', 'SJOGRENS', 'SLE', 'SZC');6;0.46;1.66;3.34
('BPD', 'RA', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'RA', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('AUD', 'BPD', 'CHRONICPAIN', 'TOURETTES');6;0.46;1.66;3.34
('BPD', 'RA', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ASD', 'BPD', 'SJOGRENS', 'SLE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'SJOGRENS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'RA', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'RA', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'SJOGRENS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MS', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('AUD', 'BPD', 'GDM', 'SLE');6;0.46;1.66;3.34
('BPD', 'MS', 'RA', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'RA', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'RA', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'RA', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ASD', 'BPD', 'MDD', 'SJOGRENS');6;0.46;1.66;3.34
('BPD', 'MDD', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'RA', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MS', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MS', 'SJOGRENS', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'CUD', 'MDD', 'PREECLAMPSIA', 'RA');6;0.46;1.66;3.34
('BPD', 'CHRONICPAIN', 'MDD', 'SZC', 'TOURETTES');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'SJOGRENS');58;4.57;16.06;3.33
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('GOUT', 'RA', 'SJOGRENS', 'SLE');57;4.49;15.78;3.33
('ASD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SLE', 'SZC');108;9.4;29.64;3.33
('BPD', 'CUD', 'RA', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('MDD', 'RA', 'SJOGRENS', 'SLE', 'SZC');68;5.34;18.83;3.33
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('BPD', 'CUD', 'MS', 'RA', 'SJOGRENS');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MS', 'SJOGRENS');35;2.89;9.65;3.33
('BPD', 'CUD', 'RA', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('BPD', 'CUD', 'MS', 'SJOGRENS', 'SLE');12;0.92;3.33;3.33
('BPD', 'CUD', 'MS', 'SJOGRENS', 'SZC');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'MDD', 'SZC');22;1.69;6.1;3.33
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'MDD', 'SJOGRENS');18;1.38;4.99;3.33
('GOUT', 'MS', 'RA', 'SJOGRENS', 'SLE');35;2.69;9.71;3.33
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('AUD', 'GDM', 'GOUT', 'SLE');7;0.54;1.94;3.33
('AUD', 'GDM', 'GOUT', 'RA');10;0.77;2.77;3.33
('GOUT', 'MDD', 'MS', 'SJOGRENS');35;2.8;9.68;3.33
('BILIARYCHIRROSIS', 'CUD', 'MS', 'RA', 'SJOGRENS');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'CUD', 'MS', 'SJOGRENS', 'SLE');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'CUD', 'MS', 'SJOGRENS', 'SZC');12;0.92;3.33;3.33
('BPD', 'CUD', 'MDD', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('ADHD', 'MS', 'PARKINSONS', 'SZC', 'TOURETTES');15;1.15;4.16;3.33
('AUD', 'BILIARYCHIRROSIS', 'PTSD', 'RA', 'SLE');7;0.54;1.94;3.33
('BILIARYCHIRROSIS', 'CUD', 'RA', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'CUD', 'RA', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('AUD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA', 'SLE');63;5.39;17.31;3.33
('AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SLE', 'SZC');110;9.56;30.19;3.33
('BPD', 'CUD', 'GOUT', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('BPD', 'CUD', 'GOUT', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('BPD', 'CUD', 'GOUT', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('ADHD', 'CHRONICPAIN', 'CUD', 'MDD');33;2.74;9.1;3.33
('BPD', 'CUD', 'GOUT', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('GOUT', 'MDD', 'SJOGRENS', 'SLE', 'SZC');58;4.46;16.09;3.33
('GOUT', 'MDD', 'RA', 'SLE', 'SZC');78;6.46;21.5;3.33
('BPD', 'CUD', 'GOUT', 'MDD', 'SLE');22;1.69;6.1;3.33
('AUD', 'GDM', 'GOUT', 'SZC');30;2.31;8.32;3.33
('BPD', 'CUD', 'MDD', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('GOUT', 'MS', 'RA', 'SJOGRENS', 'SZC');35;2.69;9.71;3.33
('GOUT', 'MDD', 'SJOGRENS', 'SZC');58;4.68;16.03;3.33
('GOUT', 'MS', 'SJOGRENS', 'SZC');35;2.98;9.63;3.33
('GOUT', 'MS', 'SJOGRENS', 'SLE');35;2.8;9.68;3.33
('BILIARYCHIRROSIS', 'GOUT', 'RA', 'SJOGRENS');57;4.49;15.78;3.33
('GOUT', 'MS', 'RA', 'SJOGRENS');35;2.8;9.68;3.33
('BPD', 'RA', 'SJOGRENS', 'SLE', 'SZC');68;5.43;18.8;3.33
('BILIARYCHIRROSIS', 'GOUT', 'SJOGRENS', 'SLE');58;4.68;16.03;3.33
('AUD', 'BPD', 'GDM', 'GOUT', 'SZC');25;1.92;6.93;3.33
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'MS', 'SLE');19;1.57;5.24;3.33
('GOUT', 'MDD', 'SJOGRENS', 'SLE');58;4.46;16.09;3.33
('GOUT', 'MS', 'SJOGRENS', 'SLE', 'SZC');35;2.8;9.68;3.33
('AUD', 'BPD', 'GDM', 'GOUT', 'RA');7;0.54;1.94;3.33
('BPD', 'CUD', 'MDD', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('GOUT', 'MDD', 'RA', 'SLE');78;7.41;21.22;3.33
('GOUT', 'MDD', 'RA', 'SJOGRENS');57;4.49;15.78;3.33
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'PREECLAMPSIA', 'RA');11;0.85;3.05;3.33
('BPD', 'CUD', 'MDD', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'RA', 'SLE');33;2.83;9.07;3.33
('BILIARYCHIRROSIS', 'CUD', 'MDD', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('GOUT', 'RA', 'SJOGRENS', 'SZC');57;4.85;15.68;3.33
('BPD', 'MDD', 'RA', 'SJOGRENS', 'SLE');68;5.34;18.83;3.33
('GOUT', 'RA', 'SJOGRENS', 'SLE', 'SZC');57;4.49;15.78;3.33
('BPD', 'GOUT', 'MS', 'SJOGRENS', 'SZC');35;2.69;9.71;3.33
('ADHD', 'ANOREXIA', 'BPD', 'CUD', 'MDD');21;1.62;5.82;3.33
('ASD', 'AUD', 'MS', 'PARKINSONS', 'PREECLAMPSIA');7;0.54;1.94;3.33
('BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'SLE');71;6.29;19.46;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MS', 'SJOGRENS');35;2.69;9.71;3.33
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SJOGRENS');68;6.32;18.55;3.33
('ADHD', 'ASD', 'AUD', 'BPD', 'PARKINSONS');11;0.85;3.05;3.33
('BPD', 'GOUT', 'SJOGRENS', 'SLE', 'SZC');58;4.57;16.06;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'RA', 'SJOGRENS');57;4.49;15.78;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'RA', 'SLE');84;7.21;23.09;3.33
('ADHD', 'ANOREXIA', 'BPD', 'CHRONICPAIN', 'CUD');26;2.0;7.21;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'SJOGRENS', 'SLE');58;4.57;16.06;3.33
('BPD', 'GOUT', 'MS', 'RA', 'SJOGRENS');35;2.69;9.71;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'SJOGRENS', 'SZC');58;4.57;16.06;3.33
('BPD', 'GOUT', 'MS', 'SJOGRENS', 'SLE');35;2.69;9.71;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'SLE', 'SZC');89;8.12;24.32;3.33
('AUD', 'GDM', 'GOUT');38;2.92;10.54;3.33
('BPD', 'GOUT', 'MS', 'RA', 'SLE');42;3.52;11.57;3.33
('AUD', 'MDD', 'PTSD', 'SLE', 'SZC');7;0.54;1.94;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'PARKINSONS');115;9.15;31.81;3.33
('GOUT', 'SJOGRENS', 'SLE');58;5.03;15.93;3.33
('ASD', 'AUD', 'PARKINSONS', 'RA', 'SLE');24;1.85;6.66;3.33
('ASD', 'AUD', 'PARKINSONS', 'SLE', 'SZC');106;8.26;29.37;3.33
('BPD', 'GOUT', 'RA', 'SLE', 'SZC');87;8.61;23.57;3.33
('ADHD', 'ANOREXIA', 'BPD', 'CUD', 'SZC');26;2.0;7.21;3.33
('BPD', 'GOUT', 'RA', 'SJOGRENS', 'SZC');57;4.68;15.73;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MDD', 'SLE');79;6.72;21.73;3.33
('ADHD', 'ANOREXIA', 'CHRONICPAIN', 'MDD', 'SZC');47;3.99;12.93;3.33
('ADHD', 'ANOREXIA', 'BPD', 'CUD');26;2.11;7.18;3.33
('ASD', 'AUD', 'PARKINSONS', 'SLE');106;8.36;29.34;3.33
('ADHD', 'ANOREXIA', 'CHRONICPAIN', 'CUD', 'SZC');35;2.69;9.71;3.33
('ASD', 'AUD', 'PARKINSONS', 'SZC');122;9.97;33.67;3.33
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('ASD', 'AUD', 'CHRONICPAIN', 'PARKINSONS');17;1.31;4.71;3.33
('ADHD', 'ANOREXIA', 'CUD', 'MDD', 'SZC');30;2.31;8.32;3.33
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'MDD', 'SJOGRENS');18;1.38;4.99;3.33
('ADHD', 'ANOREXIA', 'CHRONICPAIN', 'CUD', 'MDD');30;2.31;8.32;3.33
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('ASD', 'AUD', 'BPD', 'PARKINSONS');30;2.6;8.24;3.33
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'GOUT', 'SJOGRENS');18;1.38;4.99;3.33
('ADHD', 'ANOREXIA', 'CHRONICPAIN', 'CUD');37;2.85;10.26;3.33
('ANOREXIA', 'CHRONICPAIN', 'CUD', 'MDD', 'SZC');30;2.31;8.32;3.33
('ASD', 'AUD', 'SLE', 'SZC');108;9.44;29.64;3.33
('ADHD', 'ANOREXIA', 'CUD', 'MDD');30;2.31;8.32;3.33
('ADHD', 'ANOREXIA', 'MIGRAINE', 'RA', 'SLE');7;0.54;1.94;3.33
('BPD', 'GOUT', 'RA', 'SJOGRENS', 'SLE');57;4.49;15.78;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MDD', 'PARKINSONS');7;0.54;1.94;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'MDD', 'SJOGRENS');58;4.46;16.09;3.33
('ADHD', 'ASD', 'AUD', 'PARKINSONS', 'SZC');19;1.57;5.24;3.33
('MDD', 'MS', 'RA', 'SJOGRENS', 'SLE');43;3.51;11.87;3.33
('BPD', 'CUD', 'SJOGRENS', 'SLE', 'SZC');18;1.38;4.99;3.33
('BPD', 'MDD', 'SJOGRENS', 'SLE', 'SZC');71;5.46;19.69;3.33
('ASD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SZC');115;11.75;31.05;3.33
('AUD', 'MDD', 'PTSD', 'SZC');7;0.54;1.94;3.33
('BILIARYCHIRROSIS', 'GDM', 'GOUT', 'SZC');25;2.12;6.88;3.33
('MDD', 'SJOGRENS', 'SLE', 'SZC');71;6.21;19.48;3.33
('MDD', 'RA', 'SJOGRENS', 'SZC');68;5.96;18.65;3.33
('MDD', 'RA', 'SJOGRENS', 'SLE');68;5.43;18.8;3.33
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SJOGRENS', 'SLE');68;5.43;18.8;3.33
